ID,SENTENCE,CATEGORY,ASPECTS,ASPECT CATEGORY,SENTIMENT,ASPECTS_WITH_ASPECT_CATEGORY,ASPECTS_WITH_ASPECT_CATEGORY_AND_SENTIMENT
GPT-3243,the kitchen ha a separate area for preparing allergen free dish,RESTAURANT,['KITCHEN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-KITCHEN'],RESTAURANT-KITCHEN-POSITIVE
GPT-3244,the kitchen staff were working at a frenzied pace but they still managed to produce amazing food,FOOD,['KITCHEN'],['FOOD'],['POSITIVE'],['FOOD-KITCHEN'],FOOD-KITCHEN-POSITIVE
GPT-3245,the kitchen is well stocked with all the necessary ingredient,RESTAURANT,['KITCHEN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-KITCHEN'],RESTAURANT-KITCHEN-POSITIVE
GPT-3246,the kitchen is the pride and joy of the restaurant owner,RESTAURANT,['KITCHEN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-KITCHEN'],RESTAURANT-KITCHEN-POSITIVE
GPT-3247,the kitchen ha a special menu for child,FOOD,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-3248,the kitchen is the backbone of the restaurant,RESTAURANT,['KITCHEN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-KITCHEN'],RESTAURANT-KITCHEN-POSITIVE
GPT-3249,the kitchen is known for it delectable appetizer,FOOD,['GENERAL'],['FOOD'],['POSITIVE'],['FOOD-GENERAL'],FOOD-GENERAL-POSITIVE
GPT-325,the chicken taco at the mexican restaurant were bursting with flavor and topped with tangy salsa and sour cream,FOOD,"['INGREDIENT', 'FLAVOR']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-INGREDIENT', 'FOOD-FLAVOR']","FOOD-INGREDIENT-POSITIVE, FOOD-FLAVOR-POSITIVE"
GPT-3250,the kitchen ha a separate station for preparing food for large group,RESTAURANT,['KITCHEN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-KITCHEN'],RESTAURANT-KITCHEN-POSITIVE
GPT-3251,the hotel s standout feature was it stunning rooftop pool,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3252,the restaurant s private dining room was a sought after feature for special occasion,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3253,the hotel s 24 hour room service was a convenient feature for guest,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3254,the hotel s pet friendly policy was a feature that many guest appreciated,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3254,the hotel s pet friendly policy was a feature that many guest appreciated,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3255,the hotel s elegant lobby was a beautiful feature that set the tone for the rest of the property,RESTAURANT,"['ATMOSPHERE', 'FEATURES']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-ATMOSPHERE', 'RESTAURANT-FEATURES']","RESTAURANT-ATMOSPHERE-POSITIVE, RESTAURANT-FEATURES-POSITIVE"
GPT-3255,the hotel s elegant lobby was a beautiful feature that set the tone for the rest of the property,RESTAURANT,"['ATMOSPHERE', 'FEATURES']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-ATMOSPHERE', 'RESTAURANT-FEATURES']","RESTAURANT-ATMOSPHERE-POSITIVE, RESTAURANT-FEATURES-POSITIVE"
GPT-3256,the coffee shop s feature drink was a creamy vanilla latte,DRINK,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-3257,the bar s pool table was a fun feature that made it a popular spot for group,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3258,the hotel s business center was a feature that made it a popular choice for business traveler,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3258,the hotel s business center was a feature that made it a popular choice for business traveler,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3259,the coffee shop s feature smoothie was a refreshing blend of berry and green,DRINK,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-326,the latte at the coffee shop was expertly brewed and had a rich creamy foam,DRINK,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-3260,the bar s feature wine was a rich full bodied red that paired well with their cheese board,DRINK,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-3261,the coffee shop s feature snack was a savory herb infused popcorn,FOOD,['GENERAL'],['FOOD'],['POSITIVE'],['FOOD-GENERAL'],FOOD-GENERAL-POSITIVE
GPT-3262,the restaurant s feature cocktail was a spicy margarita with a chili salt rim,DRINK,['GENERAL'],['FOOD'],['POSITIVE'],['FOOD-GENERAL'],FOOD-GENERAL-POSITIVE
GPT-3263,the hotel s rooftop garden was a feature that offered guest entertainment,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3263,the hotel s rooftop garden was a feature that offered guest entertainment,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3264,the hotel s pool and spa are fantastic amenity,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3264,the hotel s pool and spa are fantastic amenity,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3265,the high quality sound system is a great feature in this bar,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3266,the rooftop terrace at this restaurant is amazing,RESTAURANT,['SEATING_PLAN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-SEATING_PLAN'],RESTAURANT-SEATING_PLAN-POSITIVE
GPT-3267,the modern decor is a great feature at this restaurant,RESTAURANT,['DECORATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-DECORATION'],RESTAURANT-DECORATION-POSITIVE
GPT-3268,the unique artwork is a great feature in this bar,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3269,the air conditioning is a nice feature at this restaurant,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-327,the decoration at the italian restaurant were charming with twinkling light and rustic detail,RESTAURANT,['DECORATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-DECORATION'],RESTAURANT-DECORATION-POSITIVE
GPT-3270,the stylish lighting is a great feature in this caf,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3271,the hotel s complimentary breakfast is a great feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3272,the stunning view from this restaurant are a fantastic feature,RESTAURANT,"['FEATURES', 'VIEW']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-FEATURES', 'RESTAURANT-VIEW']","RESTAURANT-FEATURES-POSITIVE, RESTAURANT-VIEW-POSITIVE"
GPT-3273,the historical artifact on display are a great feature at this museum caf,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3274,the outdoor playground is a great feature for family at this restaurant,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3275,the private dining room is a great feature at this restaurant,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3276,the hotel s complimentary shuttle service is a great feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3277,the hotel s bar is a great feature for nightlife,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3278,the hotel s rooftop bar is a great feature with stunning view,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3279,the hotel s spa service are a great feature for relaxation,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-328,the server at the pizzeria were fast and friendly bringing piping hot pizza to our table,"SERVICE, STAFF","['BEHAVIOUR', 'WAIT_TIME']","['SERVICE', 'SERVICE']","['POSITIVE', 'POSITIVE']","['SERVICE-BEHAVIOUR', 'SERVICE-WAIT_TIME']","SERVICE-BEHAVIOUR-POSITIVE, SERVICE-WAIT_TIME-POSITIVE"
GPT-3280,the hotel s concierge service is a great feature for guest,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3281,the hotel s cozy reading nook is a great feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3282,the hotel s pet friendly policy is a great feature for animal lover,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3283,the restaurant s vegan option are a great feature for health conscious eater,FOOD,['DIET_OPTION'],['FOOD'],['POSITIVE'],['FOOD-DIET_OPTION'],FOOD-DIET_OPTION-POSITIVE
GPT-3284,the hotel s central location is a great feature for sightseeing,RESTAURANT,"['FEATURES', 'VIEW']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-FEATURES', 'RESTAURANT-VIEW']","RESTAURANT-FEATURES-POSITIVE, RESTAURANT-VIEW-POSITIVE"
GPT-3285,this restaurant ha a unique ambience that set it apart from others in the area,"AMBIENCE, RESTAURANT",['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-3286,the outdoor seating area is a lovely feature of this restaurant,RESTAURANT,['SEATING_PLAN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-SEATING_PLAN'],RESTAURANT-SEATING_PLAN-POSITIVE
GPT-3287,the hotel ha a pool and fitness center for guest to use,RESTAURANT,['OPTIONS'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-OPTIONS'],RESTAURANT-OPTIONS-POSITIVE
GPT-3287,the hotel ha a pool and fitness center for guest to use,RESTAURANT,['OPTIONS'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-OPTIONS'],RESTAURANT-OPTIONS-POSITIVE
GPT-3288,the bar serf handcrafted cocktail that are delicious and well crafted,DRINK,"['KITCHEN', 'TASTE']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-KITCHEN', 'FOOD-TASTE']","FOOD-KITCHEN-POSITIVE, FOOD-TASTE-POSITIVE"
GPT-3289,the restaurant ha a private dining room that is perfect for special occasion,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-329,the decor at the bistro was elegant and understated with gleaming silverware and crisp linen,RESTAURANT,['DECORATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-DECORATION'],RESTAURANT-DECORATION-POSITIVE
GPT-3290,the hotel ha a business center with printing and faxing service available,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-3290,the hotel ha a business center with printing and faxing service available,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-3291,the bar ha a live music performance every saturday night,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3292,the bar ha a great happy hour with discounted drink and appetizer,DRINK,['DEALS'],['FOOD'],['POSITIVE'],['FOOD-DEALS'],FOOD-DEALS-POSITIVE
GPT-3293,the restaurant ha a child s menu with lot of kid friendly option,FOOD,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-3294,the hotel ha a spa and offer massage and other treatment,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-3294,the hotel ha a spa and offer massage and other treatment,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-3295,the hotel ha a valet parking service to make it easy to park your car,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3295,the hotel ha a valet parking service to make it easy to park your car,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3296,the bar ha a knowledgeable staff that can recommend drink based on your preference,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-3297,the hotel ha a luggage storage area for guest who arrive early or need to leave late,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-3297,the hotel ha a luggage storage area for guest who arrive early or need to leave late,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-3298,the bar ha a signature drink that is a must try,DRINK,['RECOMMENDATION'],['FOOD'],['POSITIVE'],['FOOD-RECOMMENDATION'],FOOD-RECOMMENDATION-POSITIVE
GPT-3299,the restaurant ha a sommelier who can help you select the perfect wine to pair with your meal,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-330,the onion ring at the pub were crispy and savory a great addition to my cold beer,FOOD,"['TASTE', 'FLAVOR']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-TASTE', 'FOOD-FLAVOR']","FOOD-TASTE-POSITIVE, FOOD-FLAVOR-POSITIVE"
GPT-3300,the hotel ha a library where guest can borrow book or magazine to read during their stay,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3300,the hotel ha a library where guest can borrow book or magazine to read during their stay,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3301,the restaurant ha a cooking class where you can learn to make some of their signature dish,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3302,the outdoor patio at this restaurant ha a beautiful water feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3303,this bar ha a unique feature of a rooftop lounge,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3304,this bakery s unique feature is their custom cake design,FOOD,['GENERAL'],['FOOD'],['POSITIVE'],['FOOD-GENERAL'],FOOD-GENERAL-POSITIVE
GPT-3305,the restaurant s feature entre is their surf and turf,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3305,the restaurant s feature entre is their surf and turf,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3306,this ice cream shop ha a unique feature of a flavor of the month,FOOD,['FLAVOR'],['FOOD'],['POSITIVE'],['FOOD-FLAVOR'],FOOD-FLAVOR-POSITIVE
GPT-3307,the hotel ha a feature of an on site barbershop,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3307,the hotel ha a feature of an on site barbershop,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3308,this bar ha a unique feature of a beer garden,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3309,the hotel s feature attraction is their on site golf course,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3309,the hotel s feature attraction is their on site golf course,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-331,the lemonade at the lemonade stand was sweet and tart with fresh lemon juice and a sprinkle of sugar,DRINK,['TASTE'],['FOOD'],['POSITIVE'],['FOOD-TASTE'],FOOD-TASTE-POSITIVE
GPT-3310,the restaurant s feature dish is their chicken alfredo,FOOD,['EXPERIENCE'],['FOOD'],['POSITIVE'],['FOOD-EXPERIENCE'],FOOD-EXPERIENCE-POSITIVE
GPT-3311,this pub ha a unique feature of trivia night every tuesday,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3312,this deli s unique feature is their homemade pickle,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3313,the restaurant s feature cocktail is their moscow mule,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3314,the hotel s feature attraction is their on site water park,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3315,the restaurant s feature appetizer is their calamari,FOOD,['CUISINE'],['FOOD'],['POSITIVE'],['FOOD-CUISINE'],FOOD-CUISINE-POSITIVE
GPT-3316,this juice bar ha a unique feature of a juice cleanse program,DRINK,['GENERAL'],['FOOD'],['POSITIVE'],['FOOD-GENERAL'],FOOD-GENERAL-POSITIVE
GPT-3317,the restaurant ha a feature of a live cooking station,RESTAURANT,['KITCHEN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-KITCHEN'],RESTAURANT-KITCHEN-POSITIVE
GPT-3318,this burger joint s unique feature is their build your own burger menu,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3319,the hotel s feature amenity is their valet parking service,RESTAURANT,"['FEATURES', 'OPTIONS']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-FEATURES', 'RESTAURANT-OPTIONS']","RESTAURANT-FEATURES-POSITIVE, RESTAURANT-OPTIONS-POSITIVE"
GPT-332,the cozy atmosphere at the bistro was perfect for a romantic date night,RESTAURANT,"['ATMOSPHERE', 'OPTIONS']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-ATMOSPHERE', 'RESTAURANT-OPTIONS']","RESTAURANT-ATMOSPHERE-POSITIVE, RESTAURANT-OPTIONS-POSITIVE"
GPT-3320,the hotel s rooftop pool is one of it best feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3321,the restaurant s open kitchen is a unique and exciting feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3322,the restaurant s extensive wine list is a fantastic feature for wine lover,DRINK,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-3323,the hotel s 24 hour room service is a convenient feature for guest,GENERAL,['GENERAL'],['GENERAL'],['NEUTRAL'],['GENERAL-GENERAL'],GENERAL-GENERAL-NEUTRAL
GPT-3323,the hotel s 24 hour room service is a convenient feature for guest,GENERAL,['GENERAL'],['GENERAL'],['NEUTRAL'],['GENERAL-GENERAL'],GENERAL-GENERAL-NEUTRAL
GPT-3324,the hotel s business center is a helpful feature for business traveler,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3324,the hotel s business center is a helpful feature for business traveler,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3325,the restaurant s private dining room is a great feature for special occasion,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3326,the hotel s fitness center is a useful feature for guest who want to stay active,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3326,the hotel s fitness center is a useful feature for guest who want to stay active,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3327,the restaurant s garden seating is a peaceful and calming feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3328,the hotel s central location is a great feature for exploring the city,RESTAURANT,['LOCATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-LOCATION'],RESTAURANT-LOCATION-POSITIVE
GPT-3328,the hotel s central location is a great feature for exploring the city,RESTAURANT,['LOCATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-LOCATION'],RESTAURANT-LOCATION-POSITIVE
GPT-3329,the restaurant s cozy atmosphere is a welcoming feature,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-333,the warm and inviting atmosphere at the caf made me feel right at home,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-3330,the hotel s spacious room are a desirable feature for guest,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3330,the hotel s spacious room are a desirable feature for guest,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3331,the hotel s rooftop bar is a trendy and popular feature,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3332,the hotel s valet parking is a convenient feature for guest with car,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3333,the restaurant s dim sum brunch is a fun and delicious feature,RESTAURANT,"['FEATURES', 'OPTIONS']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-FEATURES', 'RESTAURANT-OPTIONS']","RESTAURANT-FEATURES-POSITIVE, RESTAURANT-OPTIONS-POSITIVE"
GPT-3334,the restaurant s homemade pasta is a tasty and authentic feature,FOOD,"['QUALITY', 'TASTE']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-QUALITY', 'FOOD-TASTE']","FOOD-QUALITY-POSITIVE, FOOD-TASTE-POSITIVE"
GPT-3335,the hotel s on site bar is a convenient feature for guest who want to grab a drink,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3336,the restaurant s standout feature is it beautiful outdoor patio and garden,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3337,the hotel s main feature is it spacious and modern room,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3338,the shop s most unique feature is it vintage and retro decor,RESTAURANT,['FEATURES'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-FEATURES'],RESTAURANT-FEATURES-POSITIVE
GPT-3339,the caf s most attractive feature is it extensive coffee and tea menu,"DRINK, RESTAURANT","['FEATURES', 'MENU']","['RESTAURANT', 'FOOD']","['POSITIVE', 'POSITIVE']","['RESTAURANT-FEATURES', 'FOOD-MENU']","RESTAURANT-FEATURES-POSITIVE, FOOD-MENU-POSITIVE"
GPT-334,the attentive and efficient staff at the pizzeria ensured that our order was ready in no time,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-3340,the store s most popular feature is it large selection of designer fashion and accessory,GENERAL,['GENERAL'],['GENERAL'],['NEUTRAL'],['GENERAL-GENERAL'],GENERAL-GENERAL-NEUTRAL
GPT-3340,the store s most popular feature is it large selection of designer fashion and accessory,GENERAL,['GENERAL'],['GENERAL'],['NEUTRAL'],['GENERAL-GENERAL'],GENERAL-GENERAL-NEUTRAL
GPT-3341,the hotel s top feature is it 24 hour room service and concierge,GENERAL,['GENERAL'],['GENERAL'],['NEUTRAL'],['GENERAL-GENERAL'],GENERAL-GENERAL-NEUTRAL
GPT-3341,the hotel s top feature is it 24 hour room service and concierge,GENERAL,['GENERAL'],['GENERAL'],['NEUTRAL'],['GENERAL-GENERAL'],GENERAL-GENERAL-NEUTRAL
